1002,525
886,577
892,673
955,708
1102,692
1163,637
1194,558
1157,611
1134,632
1094,564
1071,506
1048,490
996,491
952,514
897,593
884,661
811,702
723,695
651,659
585,603
554,517
587,459
694,446
814,467
915,511
991,487
1034,408
1036,386
1018,335
1058,465
988,510
904,502
868,485
801,478
762,488
705,458
669,407
669,327
701,278
799,264
769,238
656,294
663,412
699,461
728,506
807,509
912,493
882,541
867,615
848,679
915,702
960,705
1054,706
1080,679
1094,644
1149,614
1204,565
1214,498
1213,438
1189,526
1144,606
1114,649
1097,591
1074,521
1052,512
998,523
926,592
921,646
900,698
819,713
696,684
584,640
551,588
545,515
627,463
733,493
737,541
735,580
717,596
704,601
694,599
684,595
681,578
682,591
703,600
717,597
743,563
769,518
827,494
856,501
885,561
855,628
931,487
1041,463
1055,467
1090,540
1072,481
1025,369
1013,340
1027,330
1053,411
1068,534
1119,618
1149,628
1174,560
1171,484
1215,355
1235,445
1218,534
1143,631
1096,674
1071,684
1085,623
1084,544
1040,486
960,524
922,624
887,684
836,705
813,686
846,629
856,561
859,490
800,464
727,455
692,409
698,336
703,301
700,279
715,234
745,231
773,229
774,218
706,246
626,293
621,375
609,365
587,453
565,531
590,558
614,615
636,673
682,696
737,716
767,725
831,725
877,724
